GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
flashcard-system,com.mycompany.app.cli,HelpFormatter,31,0,0,0,11,0,2,0,2,0
flashcard-system,com.mycompany.app.cli,CommandLineOptions,9,152,3,14,2,39,3,14,0,7
flashcard-system,com.mycompany.app,App,7,0,0,0,3,0,2,0,2,0
flashcard-system,com.mycompany.app,FlashcardApp,72,0,7,0,22,0,7,0,3,0
flashcard-system,com.mycompany.app.service,CardLoader,45,0,4,0,7,0,4,0,2,0
flashcard-system,com.mycompany.app.service,FlashcardSession,267,0,24,0,62,0,14,0,2,0
flashcard-system,com.mycompany.app.achievement,AchievementTracker,0,101,0,14,0,26,0,12,0,5
flashcard-system,com.mycompany.app.model,Card,0,31,0,0,0,11,0,5,0,5
flashcard-system,com.mycompany.app.organizer,RecentMistakesFirstSorter,0,127,4,16,0,24,4,8,0,2
flashcard-system,com.mycompany.app.organizer,RandomSorter,0,12,0,0,0,4,0,2,0,2
flashcard-system,com.mycompany.app.organizer,WorstFirstSorter,0,43,0,0,0,7,0,3,0,3
